,age,dates,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup
103,50-64 ans,2021-02-14,17.3,14.2,20.8,21.9,18.5,25.7,63.1,58.8,67.3,7.0,5.1,9.6
104,65 ans et plus,2021-02-14,17.2,14.1,20.8,19.5,16.3,23.3,63.3,58.9,67.4,4.8,3.2,7.0
105,18-24 ans,2021-03-16,31.4,24.7,38.9,25.9,19.7,33.2,64.1,56.3,71.2,18.1,12.8,25.1
106,25-34 ans,2021-03-16,25.8,21.0,31.3,24.6,19.9,30.1,68.5,62.7,73.8,10.3,7.2,14.5
107,35-49 ans,2021-03-16,24.8,21.3,28.7,22.0,18.7,25.8,71.1,67.0,74.9,12.2,9.7,15.4
108,50-64 ans,2021-03-16,16.8,13.8,20.2,19.2,16.2,22.8,63.6,59.4,67.7,7.1,5.2,7.1
109,65 ans et plus,2021-03-16,12.7,10.1,15.9,14.1,11.4,17.5,59.5,55.1,63.7,2.6,1.5,2.6
110,18-24 ans,2021-04-22,31.9,24.8,40.1,25.8,19.3,33.5,65.9,57.7,73.4,18.1,12.5,25.6
111,25-34 ans,2021-04-22,32.3,27.3,37.7,23.6,19.2,28.7,70.0,64.6,74.9,10.4,7.5,14.3
112,35-49 ans,2021-04-22,24.6,21.1,28.6,25.3,21.7,29.3,65.6,61.4,69.6,13.0,10.3,16.2
113,50-64 ans,2021-04-22,16.7,13.7,20.4,21.7,18.3,25.6,62.5,58.0,66.8,8.2,6.1,11.0
114,65 ans et plus,2021-04-22,15.0,12.1,18.4,16.3,13.3,19.8,59.3,54.9,63.6,2.5,1.4,4.3
115,18-24 ans,2021-05-18,33.9,26.6,42.1,26.1,19.5,34.1,70.0,61.7,77.1,15.7,10.7,22.5
116,25-34 ans,2021-05-18,26.7,21.7,32.5,22.4,17.7,27.9,71.0,65.1,76.3,10.2,7.0,14.5
117,35-49 ans,2021-05-18,24.5,21.0,28.3,22.2,18.8,26.0,65.8,61.6,69.8,8.8,6.6,11.5
118,50-64 ans,2021-05-18,16.0,13.1,19.4,17.6,14.6,21.1,61.7,57.5,65.8,9.5,7.2,12.3
119,65 ans et plus,2021-05-18,11.6,9.1,14.7,11.9,9.3,15.2,55.7,51.2,60.1,3.0,1.8,4.9
120,18-24 ans,2021-06-27,28.5,21.9,36.1,22.6,16.6,29.9,76.4,69.1,82.5,20.1,14.6,27.0
121,25-34 ans,2021-06-27,25.8,21.3,30.8,13.8,10.4,18.0,67.9,62.5,72.8,9.9,7.1,13.7
122,35-49 ans,2021-06-27,22.7,19.4,26.5,17.1,14.1,20.6,70.9,66.8,74.6,11.2,8.8,14.2
123,50-64 ans,2021-06-27,14.6,11.8,17.9,13.9,11.1,17.1,61.3,57.7,65.4,6.9,5.0,9.4
124,65 ans et plus,2021-06-27,11.0,8.3,14.3,11.7,9.0,15.2,61.3,56.5,65.9,4.3,2.8,6.7
125,18-24 ans,2021-07-17,30.5,23.4,38.6,15.7,10.6,22.6,59.0,50.7,66.8,18.8,13.1,26.1
126,25-34 ans,2021-07-17,28.9,23.9,34.5,16.8,12.8,21.6,63.9,58.1,69.3,11.9,8.6,16.3
127,35-49 ans,2021-07-17,21.5,18.3,25.2,14.6,11.9,17.8,57.4,53.2,61.5,8.6,6.5,11.4
128,50-64 ans,2021-07-17,15.4,12.6,18.8,11.9,9.4,15.0,61.3,57.1,65.4,8.0,5.9,10.7
129,65 ans et plus,2021-07-17,10.6,8.0,13.8,8.3,6.1,11.3,55.8,51.0,60.4,4.9,3.2,7.4
130,18-24 ans,2021-08-01,37.1,30.8,43.9,15.8,11.5,21.5,71.7,65.2,77.4,18.9,14.1,24.8
131,25-34 ans,2021-08-01,34.6,29.1,40.6,17.4,13.4,22.4,66.2,60.2,71.7,18.4,14.2,23.6
132,35-49 ans,2021-08-01,27.0,23.4,30.9,18.3,15.3,21.9,66.4,62.2,70.3,8.7,6.6,11.4
133,50-64 ans,2021-08-01,18.0,14.9,21.5,14.3,11.5,17.6,62.7,58.4,66.7,7.7,5.7,10.4
134,65 ans et plus,2021-08-01,11.8,9.2,15.0,10.1,7.7,13.2,53.8,49.2,58.3,3.7,2.4,5.9
135,18-24 ans,2021-10-01,36.3,30.0,43.2,18.5,13.7,24.6,71.1,64.4,76.9,17.8,13.1,23.6
136,25-34 ans,2021-10-01,42.5,36.8,48.4,18.9,14.7,24.0,77.6,72.3,82.1,15.4,11.6,20.2
137,35-49 ans,2021-10-01,33.3,29.5,37.4,18.2,15.1,21.7,74.1,70.2,77.6,10.5,8.2,13.4
138,50-64 ans,2021-10-01,17.5,14.4,21.0,16.1,13.2,19.6,70.5,66.5,74.3,6.0,4.3,8.4
139,65 ans et plus,2021-10-01,11.5,8.9,14.7,11.7,9.0,15.0,58.8,54.2,63.2,5.4,3.7,7.9
