numDep,DISP_TP6018,DISP_Q118,DISP_MED18,DISP_Q318,DISP_EQ18,DISP_D118,DISP_D218,DISP_D318,DISP_D418,DISP_D618,DISP_D718,DISP_D818,DISP_D918,DISP_RD18,DISP_S80S2018,DISP_GI18,DISP_PACT18,DISP_PTSA18,DISP_PCHO18,DISP_PBEN18,DISP_PPEN18,DISP_PPAT18,DISP_PPSOC18,DISP_PPFAM18,DISP_PPMINI18,DISP_PPLOGT18,DISP_PIMPOT18,DISP_NOTE18
2A,18.17727272727273,15562.142857142857,21580.35714285714,29049.285714285714,0.6214285714285713,11450.357142857143,14300.0,16880.35714285714,19251.428571428572,24171.785714285714,27265.35714285714,31338.928571428572,39078.57142857143,3.410714285714287,4.371428571428571,0.2868214285714285,73.17142857142856,62.989285714285714,2.6142857142857148,7.567857142857143,28.542857142857137,11.107142857142856,6.4071428571428575,1.6392857142857145,3.1750000000000003,1.592857142857143,-19.228571428571428,0.07142857142857142
2B,23.993333333333332,13707.333333333334,19221.333333333332,26698.666666666668,0.6673333333333334,10057.333333333334,12600.0,14736.666666666666,16884.0,21764.0,24877.333333333332,28966.0,36042.666666666664,3.5866666666666664,4.706666666666666,0.30113333333333336,67.05333333333334,56.42666666666666,2.44,8.186666666666666,30.333333333333332,9.860000000000001,10.059999999999999,1.7933333333333334,5.633333333333334,2.633333333333333,-17.30666666666667,0.0
30,30.80989010989012,13462.42718446602,18273.980582524273,24654.660194174758,0.5984466019417476,10128.640776699029,12470.873786407767,14417.281553398057,16346.213592233009,20446.990291262136,23069.417475728154,26605.242718446603,33044.854368932036,3.209708737864078,3.955339805825244,0.268368932038835,60.33495145631069,51.728712871287115,4.02079207920792,4.97029702970297,31.83592233009709,8.660194174757281,14.27669902912622,3.8621359223300966,6.497087378640775,3.917475728155339,-15.107766990291264,0.0
31,19.716580310880826,16220.811965811965,22849.65811965812,31325.299145299145,0.6552991452991456,11512.136752136752,14815.128205128205,17569.700854700855,20186.62393162393,25751.324786324785,29235.94017094017,33889.27350427351,42158.24786324786,3.705982905982906,4.611538461538461,0.28973931623931615,78.49444444444451,69.50472103004293,3.373390557939916,5.736051502145923,23.33205128205126,9.226495726495722,8.087606837606831,2.2717948717948713,3.500427350427349,2.315384615384615,-19.140598290598298,0.021367521367521368
32,18.65,14873.636363636364,19719.090909090908,26318.18181818182,0.5881818181818183,11307.272727272728,13827.272727272728,15899.09090909091,17761.81818181818,21975.454545454544,24703.636363636364,28219.090909090908,35168.181818181816,3.1363636363636362,3.8363636363636364,0.26654545454545453,61.08181818181819,52.48181818181819,2.927272727272727,5.672727272727273,36.55454545454546,8.718181818181817,9.90909090909091,2.3636363636363633,4.927272727272728,2.6181818181818186,-16.263636363636365,0.0
33,16.19441860465117,16930.83916083916,23020.734265734267,31001.04895104895,0.6076573426573428,12315.34965034965,15578.566433566433,18183.566433566433,20573.776223776225,25717.202797202797,28967.23776223776,33457.58741258741,41625.48951048951,3.4090909090909087,4.269930069930071,0.2776818181818181,76.89720279720285,67.24615384615379,3.449650349650351,6.201398601398603,26.73496503496503,9.36503496503496,6.326573426573431,1.846853146853147,2.7265734265734256,1.7531468531468526,-19.323776223776225,0.03146853146853147
34,27.314545454545442,13809.333333333334,19239.5,26311.222222222223,0.643388888888889,10005.277777777777,12683.388888888889,14882.833333333334,17040.61111111111,21644.722222222223,24521.277777777777,28520.61111111111,35794.555555555555,3.571666666666666,4.557777777777778,0.2913055555555555,65.57611111111116,54.830000000000005,4.248333333333331,6.497777777777778,30.86888888888892,9.627222222222224,11.015000000000004,2.951666666666666,4.961666666666668,3.1016666666666675,-17.08722222222223,0.027777777777777776
35,19.496116504854367,16557.18120805369,22581.610738255033,30355.5033557047,0.6061744966442957,12057.31543624161,15207.181208053691,17784.362416107382,20163.557046979866,25228.456375838927,28398.25503355705,32783.355704697984,40568.85906040268,3.377852348993288,4.269127516778522,0.27887919463087246,71.6046979865772,63.80958904109588,3.018493150684933,5.221232876712329,29.575167785234903,10.193959731543622,7.3865771812080565,2.116107382550336,3.1744966442953007,2.0959731543624156,-18.760402684563758,0.006711409395973154
36,21.220000000000002,14710.384615384615,19367.30769230769,25160.76923076923,0.5400000000000001,11218.461538461539,13618.846153846154,15693.846153846154,17570.384615384617,21380.384615384617,23711.53846153846,26791.923076923078,32687.30769230769,2.930769230769231,3.573076923076923,0.24988461538461534,62.34230769230768,56.69166666666666,3.0708333333333324,3.850000000000001,35.46923076923077,7.742307692307692,9.807692307692308,2.673076923076924,4.546153846153846,2.5884615384615377,-15.361538461538466,0.0
37,21.431081081081075,15804.017857142857,21089.375,27923.035714285714,0.5719642857142856,11686.25,14631.517857142857,16905.98214285714,18984.64285714286,23388.125,26178.660714285714,30012.946428571428,36734.46428571428,3.1598214285714272,3.8625000000000003,0.2594017857142857,68.96071428571426,62.349532710280364,3.2822429906542054,4.053271028037384,31.505357142857132,7.99375,8.524107142857149,2.5214285714285722,3.669642857142857,2.333035714285714,-16.98392857142858,0.0
