,etablissement_code_commune,etablissement_commune,Dernier établissement,rentree,AgeBacAvanceOuATemps,AgeBacRetard
31,97120,Pointe-à-Pitre,Université des Antilles,2007,0.5951417004048583,0.4048582995951417
32,69387,Lyon 7e,Université Jean Moulin - Lyon 3,2007,0.555470762186397,0.444529237813603
33,25056,Besançon,Université de Franche-Comté,2007,0.6046267087276551,0.3953732912723449
34,44109,Nantes,Université de Nantes,2007,0.6415625606835393,0.3584374393164606
35,80021,Amiens,Université de Picardie Jules-Verne,2007,0.5871231219118686,0.4128768780881315
36,69266,Villeurbanne,Institut national des sciences appliquées de Lyon,2007,0.7350096711798839,0.26499032882011603
37,54357,Maxéville,Université de Lorraine,2007,0.7585816672953603,0.24141833270463975
38,76451,Mont-Saint-Aignan,Université de Rouen Normandie,2007,0.5945372460496614,0.4054627539503386
39,13001,Aix-en-Provence,Sciences Po Aix,2007,0.7695078031212484,0.2304921968787515
40,34172,Montpellier,École nationale supérieure de chimie de Montpellier,2007,0.8891752577319587,0.11082474226804123
41,14118,Caen,École nationale supérieure d'ingénieurs de Caen,2007,0.7094395280235988,0.29056047197640117
42,86062,Chasseneuil-du-Poitou,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,2007,0.8920570264765784,0.1079429735234216
43,75116,Paris 16e,Sorbonne Université,2007,0.6964367291000457,0.30356327089995433
44,35238,Rennes,Sciences Po Rennes,2007,0.89749430523918,0.10250569476082004
45,21231,Dijon,Université de Bourgogne,2007,0.6147573907455013,0.3852426092544987
46,64445,Pau,Université de Pau et des Pays de l'Adour,2007,0.5946020633750921,0.40539793662490786
47,33318,Pessac,Université Bordeaux Montaigne,2007,0.5740086637787404,0.42599133622125956
48,75106,Paris  6e,Université de Paris,2007,0.5923520466354074,0.4076479533645926
49,93070,Saint-Ouen-sur-Seine,ISAE-Supméca,2007,0.85451197053407,0.14548802946593
50,90094,Sevenans,Université de technologie de Belfort-Montbéliard,2007,0.6155545735749006,0.38444542642509943
51,35238,Rennes,Université de Bretagne Occidentale,2007,0.7542503863987635,0.24574961360123648
52,63014,Aubière,Clermont Auvergne INP,2007,0.9432314410480349,0.056768558951965066
53,98818,Nouméa,,2007,0.6634615384615384,0.33653846153846156
54,93066,Saint-Denis,Université Paris 8 - Vincennes - Saint-Denis,2007,0.3439846993515884,0.6560153006484116
55,75105,Paris  5e,Muséum national d'histoire naturelle,2007,0.5722543352601156,0.4277456647398844
56,86194,Poitiers,Université de Poitiers,2007,0.7744860943168077,0.22551390568319227
57,69387,Lyon 7e,École normale supérieure de Lyon,2007,0.715,0.285
58,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2007,0.8501742160278746,0.14982578397212543
