annee_universitaire;composante_id_paysage;composante_lib;composante_id_uai;etablissement_id_paysage;etablissement_lib;composante_localisation;effectif;effectif_sans_cpge;effectif_total;effectif_total_sans_cpge;sexef;sexem;bac1;bac2;bac3;bac4;bac5;bac6;bac7;bac_ageavance;bac_agea_l_heure;bac_ageretard;bac_ageso;attrac_nat_dep_bac1;attrac_nat_dep_bac2;attrac_nat_dep_bac3;attrac_nat_dep_bac4;attrac_nat_dep_bac5;attrac_nat_dep_bac9;mobilite_internm;attrac_interne;gd_discisciplinedsa;gd_discisciplinellsh;gd_discisciplinesi;gd_discisciplinestaps;discipline02;discipline04;discipline05;discipline06;discipline32;discipline09;discipline15;discipline33;discipline10;composante_id_region;composante_region;composante_id_academie;composante_academie;rentree;annee
2016-17;DGwMY;INSPÉ Normandie Rouen - Le Havre;0763448K;G4572;Université de Rouen Normandie;Normandie;2036;2036;2042;2042;1465;571;600;570;595;111;62;27;71;105;1330;530;71;1193;398;358;16;;71;55;44;;2036;;;;;22;2014;;;;;;R28;Normandie;A70;Normandie;2016;2017
2016-17;KT6Wc;INSPÉ de l'Académie de Reims;0512146F;57OsX;Université de Reims Champagne-Ardenne;Grand Est>Reims;1272;1272;1308;1308;890;382;313;356;390;75;68;19;51;47;839;335;51;555;421;243;2;;51;29;29;;1272;;;;;;1272;;;;;;R44;Grand Est;A19;Reims;2016;2017
2016-17;QOggm;INSPÉ de l'Académie de Poitiers;0861433R;hlX1r;Université de Poitiers;Nouvelle-Aquitaine>Poitiers;1445;1445;1445;1445;989;456;369;394;494;59;59;14;56;85;964;340;56;519;413;455;2;;56;34;34;25;1243;85;92;25;50;66;1127;;34;51;;92;R75;Nouvelle-Aquitaine;A13;Poitiers;2016;2017
2016-17;QgvQ6;INSPÉ de l'Académie de Créteil;0942353X;vb71K;Université Paris-Est Créteil;Île-de-France>Créteil;4961;4961;5035;5035;3574;1387;1290;1210;1284;412;273;126;366;215;2695;1685;366;785;1835;1914;61;;366;185;170;;4961;;;;;;4961;;;;;;R11;Île-de-France;A24;Créteil;2016;2017
2016-17;VUz2Y;INSPÉ de Bourgogne;0212218X;Lr94O;Université de Bourgogne;Bourgogne-Franche-Comté>Dijon;1466;1466;1468;1468;1005;461;362;385;524;63;74;21;37;87;993;349;37;460;585;375;7;2;37;23;23;;1466;;;;;;1466;;;;;;R27;Bourgogne-Franche-Comté;A07;Dijon;2016;2017
2016-17;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;1040;1040;1041;1041;776;264;314;230;350;62;35;12;37;56;743;204;37;857;5;135;6;;37;14;11;;1040;;;;;;1040;;;;;;R04;La Réunion;A28;La Réunion;2016;2017
2016-17;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;z3hdL;Université des Antilles;Martinique;556;556;566;566;457;99;176;117;125;59;33;19;27;22;296;211;27;429;47;50;3;;27;12;12;;556;;;;;;556;;;;;;R02;Martinique;A31;Martinique;2016;2017
2016-17;X3ml2;INSPÉ de l'Académie de Strasbourg;0673068W;4k25D;Université de Strasbourg;Grand Est>Strasbourg;1984;1984;1999;1999;1438;546;459;537;691;106;72;33;86;94;1413;391;86;853;651;385;9;;86;64;66;;1984;;;;;25;1959;;;;;;R44;Grand Est;A15;Strasbourg;2016;2017
2016-17;j2I1q;INSPÉ de l'Académie de Corse;7200739R;NLCOF;Université de Corse Pasquale Paoli;Corse;294;294;294;294;215;79;95;67;83;20;11;4;14;15;213;52;14;242;5;32;1;;14;10;10;;294;;;;;;294;;;;;;R94;Corse;A27;Corse;2016;2017
2016-17;y7W8e;INSPÉ de l’Académie d'Amiens;0802142U;8j5s2;Université de Picardie Jules-Verne;Hauts-de-France>Amiens;1815;1815;1815;1815;1285;530;501;427;598;106;94;31;58;103;1166;488;58;788;671;288;10;;58;25;22;40;1420;197;158;40;140;149;1115;16;56;141;;158;R32;Hauts-de-France;A20;Amiens;2016;2017
2017-18;39cGg;INSPÉ de l'Académie de Nantes;0442764R;7hB8r;Université de Nantes;Pays de la Loire>Nantes;3605;3605;3673;3673;2609;996;883;1082;1235;147;129;46;83;194;2606;722;83;1145;1056;1270;50;1;83;64;53;;3605;;;;;;3605;;;;;;R52;Pays de la Loire;A17;Nantes;2017;2018
2017-18;58dQ3;INSPÉ de l’Académie d'Aix-Marseille;0134065Y;xJdyB;Aix-Marseille Université;Provence-Alpes-Côte d'Azur>Aix-Marseille;3068;3068;3071;3071;2162;906;735;675;961;192;149;87;269;174;1854;771;269;1365;549;849;36;;269;206;192;;3068;;;;;;3068;;;;;;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;2017;2018
2017-18;Fe3rB;INSPÉ de l'académie de Guyane;9730475D;hy4EW;Université de Guyane;Guyane;780;780;781;781;621;159;188;153;109;138;66;70;56;24;307;393;56;499;75;144;6;;56;9;9;;780;;;;;;780;;;;;;R03;Guyane;A33;Guyane;2017;2018
2017-18;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;z3hdL;Université des Antilles;Martinique;574;574;577;577;482;92;195;103;147;51;38;14;26;28;322;198;26;432;40;72;4;;26;17;17;;574;;;;;;574;;;;;;R02;Martinique;A31;Martinique;2017;2018
2017-18;y61Kl;INSPÉ de l'Académie de Lyon;0694198N;etBz7;Université Claude Bernard - Lyon 1;Auvergne-Rhône-Alpes>Lyon;4917;4917;4992;4992;3542;1375;1244;1377;1605;244;189;70;188;317;3235;1177;188;1470;1197;2016;44;2;188;139;124;;4917;;;;;;4917;;;;;;R84;Auvergne-Rhône-Alpes;A10;Lyon;2017;2018
2017-18;y7W8e;INSPÉ de l’Académie d'Amiens;0802142U;8j5s2;Université de Picardie Jules-Verne;Hauts-de-France>Amiens;1915;1915;1915;1915;1363;552;514;452;641;123;91;38;56;85;1270;504;56;793;753;306;7;;56;34;32;63;1494;191;167;63;151;152;1179;12;49;142;;167;R32;Hauts-de-France;A20;Amiens;2017;2018
2018-19;39cGg;INSPÉ de l'Académie de Nantes;0442764R;7hB8r;Université de Nantes;Pays de la Loire>Nantes;3547;3546;3606;3605;2548;999;794;1036;1323;124;139;54;77;196;2682;592;77;1102;1084;1246;37;1;77;60;53;;3547;;;;;;3547;;;;;;R52;Pays de la Loire;A17;Nantes;2018;2019
2018-19;45g5M;ESPE de la Polynésie Française;9840468L;zepT6;Université de la Polynésie Française;Collectivités d'outre-mer>Polynésie Française;243;243;244;244;179;64;67;48;64;42;7;6;9;18;146;70;9;212;;21;;1;9;2;2;;243;;;;;;243;;;;;;R00;Collectivités d'outre-mer;A41;Polynésie Française;2018;2019
2018-19;49xLF;INSPÉ Toulouse Occitanie-Pyrénées;0312877J;HqAYu;Université Toulouse - Jean Jaurès;Occitanie>Toulouse;2995;2995;3042;3042;2179;816;710;700;1121;97;183;67;117;151;2129;598;117;915;715;1216;32;;117;95;79;;2995;;;;;;2995;;;;;;R76;Occitanie;A16;Toulouse;2018;2019
2018-19;Fe3rB;INSPÉ de l'académie de Guyane;9730475D;hy4EW;Université de Guyane;Guyane;733;733;734;734;583;150;170;135;94;119;65;82;68;26;276;363;68;479;64;115;7;;68;13;13;;733;;;;;;733;;;;;;R03;Guyane;A33;Guyane;2018;2019
2018-19;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;4TeGd;Languedoc-Roussillon Universités;Occitanie>Montpellier;2873;2873;2878;2878;2106;767;678;688;971;157;154;56;169;160;1880;664;169;1025;529;1125;25;;169;136;123;;2873;;;;;;2873;;;;;;R76;Occitanie;A11;Montpellier;2018;2019
