Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
École;3955;341;2554;331;729;60159;Compiègne;Université de technologie de Compiègne;2011
Université;14433;569;8185;3717;1958;45234;Orléans;Université d'Orléans;2011
Université;19090;1063;11610;4080;2300;49007;Angers;Université d'Angers;2011
École;629;56;463;73;37;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2011
Université;9685;297;4298;3675;1269;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2011
Grand établissement;2056;229;1414;175;238;33522;Talence;Bordeaux INP;2011
Université;10051;407;5276;3044;1269;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2011
Université;22521;1081;7625;6498;7314;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2011
Université;15420;879;8100;4089;2124;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2011
École;394;58;236;42;58;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2011
Université;12710;735;6319;4376;1094;97120;Pointe-à-Pitre;;2011
Université;2392;552;809;569;462;98818;Nouméa;Université de la Nouvelle-Calédonie;2011
Université;11593;640;6990;3436;527;97411;Saint-Denis;Université de La Réunion;2011
École;856;73;582;129;72;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2011
Université;21920;788;8528;7296;5254;93079;Villetaneuse;Université Sorbonne Paris Nord;2011
Autre établissement;1592;142;1174;110;166;31555;Toulouse;Sciences Po Toulouse;2011
École;956;29;535;163;229;57463;Metz;Université de Lorraine;2011
École;491;28;306;68;89;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2011
Université;20905;1548;10303;3457;3860;75105;Paris  5e;Sorbonne Université;2011
Grand établissement;51720;2581;30456;11377;7137;54395;Nancy;Université de Lorraine;2011
Université;27289;1963;14947;4962;4276;91471;Orsay;Université Paris-Saclay;2011
Université;16852;785;9990;3990;2008;33318;Pessac;Université de Bordeaux;2011
Université;26726;1160;13375;7816;4045;94028;Créteil;Université Paris-Est Créteil;2011
Université;15211;803;8929;3603;1873;34172;Montpellier;Université de Montpellier;2011
École;1109;65;540;226;278;75105;Paris  5e;IAE Paris - Sorbonne Business School;2011
Université;17649;1637;11692;2996;1321;33063;Bordeaux;Université de Bordeaux;2011
Université;2979;166;1393;1155;265;98738;Punaauia;Université de la Polynésie Française;2011
Université;18687;692;8640;5474;3596;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2012
Grand établissement;4439;606;2959;250;623;38185;Grenoble;Institut polytechnique de Grenoble;2012
Université;15186;792;8868;2929;2358;63113;Clermont-Ferrand;Université Clermont Auvergne;2012
Université;43936;1966;25453;7816;8500;67482;Strasbourg;Université de Strasbourg;2012
École;2169;403;1383;91;292;94016;Cachan;École normale supérieure Paris-Saclay;2012
École;5800;632;3377;233;1558;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2012
École;2508;136;1400;331;641;10387;Troyes;Université de technologie de Troyes;2012
Université;11371;437;6370;3412;1151;62041;Arras;Université d'Artois;2012
Grand établissement;6843;600;3236;1753;1252;75113;Paris 13e;Institut national des langues et civilisations orientales;2012
Université;22971;840;11179;6567;3978;31555;Toulouse;Université Toulouse - Jean Jaurès;2012
Université;9280;579;5528;2014;1159;33522;Talence;Université de Bordeaux;2012
Université;26254;1338;15432;6039;2996;21231;Dijon;Université de Bourgogne;2012
Université;6958;206;3243;2146;1344;76351;Le Havre;Université Le Havre Normandie;2012
Université;14458;633;8004;3681;1885;33318;Pessac;Université Bordeaux Montaigne;2012
Université;3762;164;2404;885;304;2B096;Corte;Université de Corse Pasquale Paoli;2012
Université;30988;2575;16602;6258;5553;75106;Paris  6e;Université de Paris;2012
Grand établissement;1224;89;430;237;468;75107;Paris  7e;École pratique des hautes études;2012
Grand établissement;86;12;43;4;27;75105;Paris  5e;Institut de physique du globe;2012
Université;10110;353;5199;3158;1326;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2012
Université;23010;959;7910;7004;7130;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2012
École;1843;395;1073;47;328;91272;Gif-sur-Yvette;CentraleSupélec;2012
École;658;57;522;53;26;63014;Aubière;Clermont Auvergne INP;2012
Grand établissement;5635;563;3776;551;745;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2012
Université;8583;227;3900;2388;2068;66136;Perpignan;Université de Perpignan Via Domitia;2012
Université;23781;1375;14011;6118;2272;14118;Caen;Université de Caen Normandie;2012
Université;16166;716;8885;4073;2435;42218;Saint-Étienne;Université Jean Monnet;2012
Grand établissement;8597;1274;5359;676;1232;75107;Paris  7e;Sciences Po;2012
Université;17635;820;10508;4061;2117;33318;Pessac;Université de Bordeaux;2012
Grand établissement;131;23;90;4;14;75105;Paris  5e;École nationale des Chartes;2012
Université;18018;1661;11999;3021;1336;33063;Bordeaux;Université de Bordeaux;2012
Université;19311;711;9166;5653;3577;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2013
École;875;142;521;26;186;13213;Marseille 13e;Centrale Marseille;2013
Autre établissement;1535;64;975;423;73;34172;Montpellier;Université de Montpellier;2013
