Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;28389;2446;20068;3950;1912;59350;Lille;Université de Lille;2016
Université;29124;1690;18456;5678;2220;14118;Caen;Université de Caen Normandie;2016
Université;18919;916;10760;3736;2974;42218;Saint-Étienne;Université Jean Monnet;2016
Université;21949;807;12778;5174;2881;35238;Rennes;Université Rennes 2;2016
École;329;62;208;6;53;75105;Paris  5e;Chimie ParisTech-PSL;2016
Université;31237;1457;18208;7668;3348;94028;Créteil;Université Paris-Est Créteil;2016
Autre établissement;3348;166;2151;848;183;34172;Montpellier;Université de Montpellier;2017
Université;24110;1324;14894;4637;2509;51454;Reims;Université de Reims Champagne-Ardenne;2017
École;350;36;263;12;39;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2017
Université;41343;2655;25764;6033;5809;34172;Montpellier;Université de Montpellier;2017
École;1875;478;1018;54;325;75105;Paris  5e;École normale supérieure PSL;2017
École;3089;209;1868;252;760;10387;Troyes;Université de technologie de Troyes;2017
Université;10117;483;5653;1583;1711;72181;Le Mans;Le Mans Université;2017
Université;11529;451;6983;2261;1630;62041;Arras;Université d'Artois;2017
Grand établissement;11229;1006;6944;914;1907;75116;Paris 16e;Université Paris Dauphine - PSL;2017
Autre établissement;1601;203;1219;52;127;59350;Lille;Sciences Po Lille;2017
Université;16681;1193;10900;2442;2017;75105;Paris  5e;Université Panthéon-Assas;2017
Université;7880;261;4330;1475;1572;76351;Le Havre;Université Le Havre Normandie;2017
Université;4219;198;2900;752;289;2B096;Corte;Université de Corse Pasquale Paoli;2017
Université;31690;3511;18828;4691;4609;75106;Paris  6e;Université de Paris;2017
École;594;57;425;64;48;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2017
École;1632;129;1116;115;272;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2017
Université;11878;427;6697;2414;1993;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2017
Université;67729;4549;42964;10864;8007;59350;Lille;Université de Lille;2017
École;998;109;776;50;63;63014;Aubière;Clermont Auvergne INP;2017
Université;25843;1433;17255;3743;2507;37261;Tours;Université de Tours;2017
Autre établissement;12189;1090;5560;1229;4310;91538;Saint-Aubin;Université Paris-Saclay;2017
École;2961;291;1921;133;608;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2017
École;2345;315;1089;51;890;44109;Nantes;Centrale Nantes;2017
École;456;97;336;18;5;35047;Bruz;École normale supérieure de Rennes;2017
Université;31478;1904;20908;4133;2655;31555;Toulouse;Université Toulouse III - Paul Sabatier;2017
Grand établissement;61204;2930;37884;9699;8892;54395;Nancy;Université de Lorraine;2017
Université;21964;1551;14140;3075;1818;91471;Orsay;Université Paris-Saclay;2017
Université;65417;3945;39567;11894;7689;13207;Marseille  7e;Aix-Marseille Université;2017
Université;23332;1150;16052;3565;2039;29019;Brest;Université de Bretagne Occidentale;2018
Université;20014;954;13379;3138;1863;31555;Toulouse;Université Toulouse Capitole;2018
Université;24537;1315;15643;4386;2386;51454;Reims;Université de Reims Champagne-Ardenne;2018
Université;9191;383;6363;1481;685;56121;Lorient;Université Bretagne Sud;2018
École;842;196;587;18;40;94016;Cachan;École normale supérieure Paris-Saclay;2018
Autre établissement;2158;184;1402;186;386;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2018
École;2019;523;1071;56;369;75105;Paris  5e;École normale supérieure PSL;2018
École;6208;728;3808;192;1480;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2018
Université;51119;3345;34104;6338;5499;33522;Talence;Université de Bordeaux;2018
Université;12154;442;7491;2594;1275;77083;Champs-sur-Marne;Université Gustave Eiffel;2018
Université;10390;531;6071;1451;1656;72181;Le Mans;Le Mans Université;2018
Grand établissement;11101;928;6995;887;1732;75116;Paris 16e;Université Paris Dauphine - PSL;2018
Grand établissement;5503;383;2830;1246;1044;75113;Paris 13e;Institut national des langues et civilisations orientales;2018
Autre établissement;1515;157;1061;101;195;13001;Aix-en-Provence;Sciences Po Aix;2018
École;454;68;307;12;67;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2018
Autre établissement;3979;142;2721;605;301;81004;Albi;Institut national universitaire Jean-François Champollion;2018
Université;29972;1248;17406;6613;4152;31555;Toulouse;Université Toulouse - Jean Jaurès;2018
École;1654;145;1137;83;289;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2018
École;478;87;342;16;33;91477;Palaiseau;Institut d'optique Graduate School;2018
Université;9433;318;5615;2357;948;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2018
Grand établissement;2448;270;1771;106;301;33522;Talence;Bordeaux INP;2018
École;1978;194;1331;63;390;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2018
Université;20784;934;12978;4608;1976;95127;Cergy;CY Cergy Paris Université;2018
Université;15526;654;10812;3060;627;97411;Saint-Denis;Université de La Réunion;2018
École;3032;289;2003;123;617;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2018
Université;43167;4030;27908;5482;3792;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2018
Autre établissement;1662;190;1165;80;227;69387;Lyon 7e;Sciences Po Lyon;2018
École;384;90;272;12;10;35047;Bruz;École normale supérieure de Rennes;2018
Grand établissement;61734;2963;38945;8843;9225;54395;Nancy;Université de Lorraine;2018
Grand établissement;188;29;133;9;17;75105;Paris  5e;École nationale des Chartes;2018
Université;9206;311;5773;1490;1522;59183;Dunkerque;Université du Littoral Côte d'Opale;2018
École;1127;181;683;23;240;13213;Marseille 13e;Centrale Marseille;2019
École;2054;218;1419;38;379;35238;Rennes;Institut national des sciences appliquées de Rennes;2019
Université;15729;726;10308;2821;1512;77083;Champs-sur-Marne;Université Gustave Eiffel;2019
Université;48913;2854;31807;6620;6450;34172;Montpellier;Université de Montpellier;2019
Autre établissement;2147;185;1405;172;385;;;Sciences Po Grenoble;2019
École;2399;595;1319;67;418;;;École normale supérieure PSL;2019
Autre établissement;68;5;55;3;5;75104;Paris  4e;Université Paris Lumières;2019
Université;32726;1532;22008;5691;2791;80021;Amiens;Université de Picardie Jules-Verne;2019
École;6224;717;3875;175;1457;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2019
Université;16300;833;8907;2262;3976;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2019
Université;54632;3338;36646;6677;6050;33522;Talence;Université de Bordeaux;2019
Université;11632;616;7101;1637;1606;72181;Le Mans;Le Mans Université;2019
Université;33773;1787;22690;5354;3161;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2019
Autre établissement;1616;176;1138;88;214;13001;Aix-en-Provence;Sciences Po Aix;2019
Université;19511;855;12536;2885;2316;45234;Orléans;Université d'Orléans;2019
Université;18253;2196;10768;1212;3540;75106;Paris  6e;Université Paris sciences et lettres;2019
Grand établissement;1116;72;377;140;527;;;École pratique des hautes études;2019
Université;16226;663;11477;3047;737;97411;Saint-Denis;Université de La Réunion;2019
École;786;71;568;54;90;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2019
Université;32293;1358;18878;6074;4346;92050;Nanterre;Université Paris Nanterre;2019
École;2381;315;1104;58;904;44109;Nantes;Centrale Nantes;2019
Université;35084;1983;24266;4384;2879;31555;Toulouse;Université Toulouse III - Paul Sabatier;2019
Grand établissement;4064;931;2273;96;764;;;CentraleSupélec;2019
Grand établissement;10445;1202;5834;351;3007;75107;Paris  7e;Sciences Po;2019
École;1746;89;769;328;560;75105;Paris  5e;IAE Paris - Sorbonne Business School;2019
Université;14320;666;9618;1976;1473;73065;Chambéry;Université Savoie Mont Blanc;2019
Université;55569;2618;34920;6746;9731;67482;Strasbourg;Université de Strasbourg;2020
École;1247;296;911;16;24;;;École normale supérieure Paris-Saclay;2020
Université;26392;1423;16912;3231;3653;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2020
Université;15886;849;9234;2148;3407;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2020
Université;29609;2054;21266;3222;1916;35238;Rennes;Université de Rennes 1;2020
Université;35512;1794;23868;5559;3326;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2020
École;4219;466;2850;170;733;60159;Compiègne;Université de technologie de Compiègne;2020
Université;20628;836;13580;3077;2172;45234;Orléans;Université d'Orléans;2020
École;797;78;569;51;98;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2020
École;728;97;498;13;120;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2020
École;623;50;473;42;58;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2020
École;2590;191;1863;145;391;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2020
Université;17995;2191;10826;1007;3491;75106;Paris  6e;Université Paris sciences et lettres;2020
Université;25129;1195;16295;4773;2498;95127;Cergy;CY Cergy Paris Université;2020
Grand établissement;355;14;192;56;93;35238;Rennes;École des hautes études en santé publique;2020
Grand établissement;385;31;277;28;49;75105;Paris  5e;Muséum national d'histoire naturelle;2020
Université;46399;3807;31025;5845;3957;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2020
Grand établissement;6059;614;4366;386;689;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2020
Université;7154;261;4534;1350;941;84007;Avignon;Avignon Université;2020
Université;3033;138;2003;646;137;98738;Punaauia;Université de la Polynésie Française;2020
Université;16245;631;7545;5345;2451;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2006
École;518;107;375;12;24;13213;Marseille 13e;Centrale Marseille;2006
Autre établissement;2077;144;1378;485;70;6088;Nice;Université Côte d'Azur;2006
Autre établissement;495;31;280;161;18;97120;Pointe-à-Pitre;Université des Antilles;2006
Autre établissement;2092;159;1296;599;38;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2006
Université;32012;1761;18243;8108;3794;44109;Nantes;Université de Nantes;2006
Université;10552;434;4957;3653;1293;77083;Champs-sur-Marne;Université Gustave Eiffel;2006
Université;10574;417;5461;3433;1230;62041;Arras;Université d'Artois;2006
Grand établissement;8082;787;3672;2106;1512;75107;Paris  7e;Institut national des langues et civilisations orientales;2006
École;3224;289;2052;381;502;60159;Compiègne;Université de technologie de Compiègne;2006
Université;14704;542;7655;4230;2273;45234;Orléans;Université d'Orléans;2006
Autre établissement;2599;83;1537;867;112;81004;Albi;Institut national universitaire Jean-François Champollion;2006
Université;23332;909;10782;7343;3870;31555;Toulouse;Université Toulouse - Jean Jaurès;2006
Autre établissement;2842;147;1923;691;81;35238;Rennes;Université de Bretagne Occidentale;2006
Université;22239;828;6295;6846;8270;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2006
Université;12580;482;6094;4232;1576;95127;Cergy;CY Cergy Paris Université;2006
Université;6038;414;3332;1409;879;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2006
Autre établissement;1565;144;1006;397;18;51454;Reims;Université de Reims Champagne-Ardenne;2006
Autre établissement;2536;238;1681;583;33;45234;Orléans;Université d'Orléans;2006
École;1642;325;1025;51;241;91272;Gif-sur-Yvette;CentraleSupélec;2006
Université;16597;1058;10091;3521;1927;54395;Nancy;Université de Lorraine;2006
Autre établissement;1354;145;892;107;210;69387;Lyon 7e;Sciences Po Lyon;2006
Grand établissement;3933;448;2677;395;413;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2006
Université;22285;1769;10452;4220;3727;75105;Paris  5e;Sorbonne Université;2006
École;290;50;187;11;42;75105;Paris  5e;Chimie ParisTech-PSL;2006
Université;12625;552;6343;3564;1958;33318;Pessac;Université de Bordeaux;2006
Université;6637;218;3305;2178;852;84007;Avignon;Avignon Université;2006
Grand établissement;94;17;66;2;9;75105;Paris  5e;École nationale des Chartes;2006
Université;11012;393;5512;3196;1911;59183;Dunkerque;Université du Littoral Côte d'Opale;2006
Université;2547;151;1208;938;250;98738;Punaauia;Université de la Polynésie Française;2006
Université;16250;608;9154;4350;1327;29019;Brest;Université de Bretagne Occidentale;2007
Autre établissement;2840;175;2034;562;69;44109;Nantes;Université de Nantes;2007
Autre établissement;2758;204;1850;624;77;34172;Montpellier;Université de Montpellier;2007
École;1462;140;1081;78;163;35238;Rennes;Institut national des sciences appliquées de Rennes;2007
Université;20587;1072;10846;6346;2160;51454;Reims;Université de Reims Champagne-Ardenne;2007
Grand établissement;52;4;36;5;7;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2007
Université;22973;2077;11318;4575;4564;75113;Paris 13e;Université de Paris;2007
Université;7585;212;4150;2458;561;56121;Lorient;Université Bretagne Sud;2007
École;332;38;260;9;25;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2007
École;633;43;453;88;49;42218;Saint-Étienne;Centrale Lyon;2007
École;764;193;465;54;52;75105;Paris  5e;École normale supérieure PSL;2007
Université;16463;1062;6934;3402;4612;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2007
Université;8634;312;4380;2220;1228;72181;Le Mans;Le Mans Université;2007
Grand établissement;8482;917;5068;1131;1366;75116;Paris 16e;Université Paris Dauphine - PSL;2007
Autre établissement;1772;203;1124;96;348;33318;Pessac;Sciences Po Bordeaux;2007
Autre établissement;1410;204;1030;75;101;59350;Lille;Sciences Po Lille;2007
École;3334;288;2149;366;531;60159;Compiègne;Université de technologie de Compiègne;2007
Université;3190;114;1704;1200;90;30189;Nîmes;Université de Nîmes;2007
Autre établissement;2553;64;1550;799;140;81004;Albi;Institut national universitaire Jean-François Champollion;2007
Université;6188;184;2794;2078;1066;76351;Le Havre;Université Le Havre Normandie;2007
École;1043;76;775;177;13;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2007
Université;16723;1097;9668;3425;2166;38185;Grenoble;Université Grenoble Alpes;2007
Université;18109;975;10782;3067;3220;67482;Strasbourg;Université de Strasbourg;2007
Grand établissement;131;14;81;9;27;75105;Paris  5e;Institut de physique du globe;2007
Université;9911;416;5089;3227;1044;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2007
École;312;31;169;40;72;59512;Roubaix;École nationale supérieure des arts et industries textiles;2007
École;1500;151;968;92;289;76451;Mont-Saint-Aignan;Institut national des sciences appliquées de Rouen Normandie;2007
Université;12089;489;6078;3946;1407;95127;Cergy;CY Cergy Paris Université;2007
École;3525;421;2233;233;637;54547;Vandœuvre-lès-Nancy;Université de Lorraine;2007
École;1649;337;1035;47;230;91272;Gif-sur-Yvette;CentraleSupélec;2007
Université;29345;1533;13706;9928;4152;92050;Nanterre;Université Paris Nanterre;2007
École;1285;200;816;91;178;44109;Nantes;Centrale Nantes;2007
École;641;54;534;47;6;63014;Aubière;Clermont Auvergne INP;2007
Autre établissement;1523;79;1090;341;13;21231;Dijon;Université de Bourgogne;2007
École;303;12;181;76;34;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2007
Université;20772;1629;9734;3708;3642;75105;Paris  5e;Sorbonne Université;2007
Grand établissement;86;9;51;7;19;75114;Paris 14e;Observatoire de Paris;2007
École;301;58;194;15;34;75105;Paris  5e;Chimie ParisTech-PSL;2007
École;1163;81;452;321;309;75105;Paris  5e;IAE Paris - Sorbonne Business School;2007
Université;13066;308;6419;3898;2140;57463;Metz;Université de Lorraine;2008
Université;15309;601;8013;4038;2549;31555;Toulouse;Université Toulouse Capitole;2008
Université;24158;2082;11980;4881;4789;75113;Paris 13e;Université de Paris;2008
Université;19214;831;11097;5089;2092;25056;Besançon;Université de Franche-Comté;2008
Université;33666;1864;20195;7631;3901;44109;Nantes;Université de Nantes;2008
École;703;44;491;100;68;42218;Saint-Étienne;Centrale Lyon;2008
Université;20578;1278;12177;4635;2348;34172;Montpellier;Université de Montpellier;2008
Université;22611;1356;13410;4558;2226;35238;Rennes;Université de Rennes 1;2008
Université;14227;671;8538;3698;1247;62041;Arras;Université d'Artois;2008
Université;25121;1170;12530;6963;4091;69387;Lyon 7e;Université Lumière - Lyon 2;2008
Autre établissement;1735;181;1087;108;359;33318;Pessac;Sciences Po Bordeaux;2008
École;379;52;277;20;30;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2008
École;3493;290;2267;392;544;60159;Compiègne;Université de technologie de Compiègne;2008
Autre établissement;2484;55;1511;734;184;81004;Albi;Institut national universitaire Jean-François Champollion;2008
Université;9421;661;5385;2230;1145;33522;Talence;Université de Bordeaux;2008
Université;31106;2756;16053;7304;4992;75106;Paris  6e;Université de Paris;2008
Université;7621;197;4062;2205;1037;68224;Mulhouse;Université de Haute-Alsace;2008
École;561;65;379;62;55;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2008
Grand établissement;130;12;75;11;32;75105;Paris  5e;Institut de physique du globe;2008
Grand établissement;21;2;17;2;;35238;Rennes;École des hautes études en santé publique;2008
École;375;31;215;51;78;59512;Roubaix;École nationale supérieure des arts et industries textiles;2008
Université;13654;759;7075;4134;1591;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2008
Université;16668;691;8739;4342;2877;38185;Grenoble;Université Grenoble Alpes;2008
École;364;43;273;43;5;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2008
Université;2538;639;918;724;257;98818;Nouméa;Université de la Nouvelle-Calédonie;2008
École;897;59;635;131;72;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2008
Université;20061;692;7729;7064;4530;93079;Villetaneuse;Université Sorbonne Paris Nord;2008
École;624;19;370;151;84;29019;Brest;École nationale d'ingénieurs de Brest;2008
Université;24651;2186;15937;4490;2037;59350;Lille;Université de Lille;2008
Université;13489;535;7494;3565;1789;42218;Saint-Étienne;Université Jean Monnet;2008
Université;27668;1206;13567;8260;4250;94028;Créteil;Université Paris-Est Créteil;2008
Université;17748;1634;11131;3473;1456;33063;Bordeaux;Université de Bordeaux;2008
Université;2954;167;1474;1110;203;98738;Punaauia;Université de la Polynésie Française;2008
Grand établissement;124;5;93;14;12;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2009
Université;26484;1583;14218;6300;4364;6088;Nice;Université Côte d'Azur;2009
École;739;42;541;87;69;42218;Saint-Étienne;Centrale Lyon;2009
École;5509;471;2509;159;2370;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2009
École;2402;129;1312;340;621;10387;Troyes;Université de technologie de Troyes;2009
Université;9901;339;4774;2900;1878;83062;La Garde;Université de Toulon;2009
Université;20486;1681;12192;4622;1966;13207;Marseille  7e;Aix-Marseille Université;2009
Autre établissement;1504;213;1115;79;97;59350;Lille;Sciences Po Lille;2009
Université;15223;1150;8675;3148;2229;75105;Paris  5e;Université Panthéon-Assas;2009
École;3722;300;2391;390;641;60159;Compiègne;Université de technologie de Compiègne;2009
Autre établissement;2707;50;1630;826;201;81004;Albi;Institut national universitaire Jean-François Champollion;2009
Université;23001;935;11161;6562;4044;31555;Toulouse;Université Toulouse - Jean Jaurès;2009
Autre établissement;1057;134;767;79;77;35238;Rennes;Sciences Po Rennes;2009
Université;6957;186;3098;2259;1344;76351;Le Havre;Université Le Havre Normandie;2009
Université;32820;2859;17035;7454;5467;75106;Paris  6e;Université de Paris;2009
École;585;64;412;66;43;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2009
Université;21972;921;7250;6654;7141;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2009
Université;12613;669;6028;4734;1014;97120;Pointe-à-Pitre;;2009
Université;11659;514;7071;3500;574;97411;Saint-Denis;Université de La Réunion;2009
École;875;58;606;130;81;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2009
École;2518;231;1644;125;518;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2009
École;648;49;542;46;11;63014;Aubière;Clermont Auvergne INP;2009
Université;13880;599;7417;3260;2087;63113;Clermont-Ferrand;Université Clermont Auvergne;2009
Université;14191;581;8103;3134;2007;87085;Limoges;Université de Limoges;2009
Université;14184;541;7717;3596;2243;42218;Saint-Étienne;Université Jean Monnet;2009
École;287;58;210;19;;75105;Paris  5e;Chimie ParisTech-PSL;2009
Université;15347;846;9050;3809;1638;34172;Montpellier;Université de Montpellier;2009
Université;17079;620;7959;4998;3316;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2010
École;658;99;430;16;113;13213;Marseille 13e;Centrale Marseille;2010
Université;42441;1829;24340;7979;8113;67482;Strasbourg;Université de Strasbourg;2010
École;1076;304;629;46;97;75105;Paris  5e;École normale supérieure PSL;2010
Université;10522;401;5496;3499;1022;77083;Champs-sur-Marne;Université Gustave Eiffel;2010
Université;20815;1714;12562;4453;2073;13207;Marseille  7e;Aix-Marseille Université;2010
Autre établissement;1766;202;1115;94;354;33318;Pessac;Sciences Po Bordeaux;2010
Grand établissement;6314;563;2881;1666;1201;75107;Paris  7e;Institut national des langues et civilisations orientales;2010
Autre établissement;2837;84;1679;862;210;81004;Albi;Institut national universitaire Jean-François Champollion;2010
École;631;74;445;30;82;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2010
Université;6914;199;3195;2167;1340;76351;Le Havre;Université Le Havre Normandie;2010
Grand établissement;1254;101;438;247;468;75107;Paris  7e;École pratique des hautes études;2010
Université;18141;878;9998;5144;1766;59009;Villeneuve-d'Ascq;Université de Lille;2010
Grand établissement;131;9;72;10;40;75105;Paris  5e;Institut de physique du globe;2010
Université;15142;863;7846;4141;2013;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2010
Université;14045;559;7287;4620;1424;95127;Cergy;CY Cergy Paris Université;2010
Université;2528;565;858;608;497;98818;Nouméa;Université de la Nouvelle-Calédonie;2010
Université;7367;249;3975;2046;1086;17300;La Rochelle;La Rochelle Université;2010
École;667;25;408;142;92;29019;Brest;École nationale d'ingénieurs de Brest;2010
École;1908;378;1159;57;314;91272;Gif-sur-Yvette;CentraleSupélec;2010
Université;29866;1375;13758;9150;4549;92050;Nanterre;Université Paris Nanterre;2010
École;1848;252;1098;102;396;44109;Nantes;Centrale Nantes;2010
Université;23151;1203;13274;5086;3586;86194;Poitiers;Université de Poitiers;2010
Université;24524;2194;16274;3922;2133;59350;Lille;Université de Lille;2010
Université;20025;966;10955;4881;3087;13001;Aix-en-Provence;Aix-Marseille Université;2010
École;200;22;150;20;8;87085;Limoges;Université de Limoges;2010
Université;14074;586;8029;3023;2090;87085;Limoges;Université de Limoges;2010
Université;23921;1306;13768;6074;2767;14118;Caen;Université de Caen Normandie;2010
Université;19191;829;9232;3897;3887;59009;Villeneuve-d'Ascq;Université de Lille;2010
Grand établissement;7592;1178;4790;451;1120;75107;Paris  7e;Sciences Po;2010
Grand établissement;122;34;73;3;12;75105;Paris  5e;École nationale des Chartes;2010
Grand établissement;2689;196;962;285;1246;75106;Paris  6e;École des hautes études en sciences sociales;2010
Université;16683;731;10089;3994;1566;29019;Brest;Université de Bretagne Occidentale;2011
Université;18072;724;8432;5214;3463;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2011
Université;43076;1942;24766;7753;8389;67482;Strasbourg;Université de Strasbourg;2011
Grand établissement;241;33;177;22;9;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2011
Autre établissement;1388;114;467;238;569;77083;Champs-sur-Marne;Paris-Est Sup;2011
École;5779;596;3296;269;1618;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2011
École;2432;108;1362;319;643;10387;Troyes;Université de technologie de Troyes;2011
Université;10818;432;6173;3063;1149;62041;Arras;Université d'Artois;2011
Grand établissement;9717;903;5905;1134;1774;75116;Paris 16e;Université Paris Dauphine - PSL;2011
Grand établissement;6675;672;3174;1674;1153;75113;Paris 13e;Institut national des langues et civilisations orientales;2011
Autre établissement;1521;217;1124;80;100;59350;Lille;Sciences Po Lille;2011
Université;24145;1535;13449;6288;2722;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2011
Autre établissement;1114;135;811;63;104;35238;Rennes;Sciences Po Rennes;2011
Université;26551;1371;15371;6211;3177;21231;Dijon;Université de Bourgogne;2011
Université;18814;959;10285;5159;1825;59009;Villeneuve-d'Ascq;Université de Lille;2011
Grand établissement;88;9;41;6;32;75105;Paris  5e;Institut de physique du globe;2011
Grand établissement;385;40;207;44;94;75105;Paris  5e;Muséum national d'histoire naturelle;2011
Université;13846;567;7241;4379;1530;95127;Cergy;CY Cergy Paris Université;2011
Université;5578;389;3114;1199;870;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2011
Université;32784;3027;20342;6217;3197;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2011
Université;25095;2258;16827;4089;1920;59350;Lille;Université de Lille;2011
École;3559;375;2283;204;697;31555;Toulouse;Toulouse INP;2011
Université;14578;629;7822;3418;2237;63113;Clermont-Ferrand;Université Clermont Auvergne;2011
Université;13996;617;8022;2971;2032;87085;Limoges;Université de Limoges;2011
Université;16076;703;8798;3965;2541;42218;Saint-Étienne;Université Jean Monnet;2011
Grand établissement;2322;590;1275;103;354;92019;Châtenay-Malabry;CentraleSupélec;2011
Université;61178;3663;33992;14777;8235;13207;Marseille  7e;Aix-Marseille Université;2011
Université;11890;519;6985;3100;1281;73065;Chambéry;Université Savoie Mont Blanc;2011
École;1748;148;1175;77;348;35238;Rennes;Institut national des sciences appliquées de Rennes;2012
Université;19362;832;11230;4726;2488;31555;Toulouse;Université Toulouse Capitole;2012
École;1495;224;893;70;308;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2012
Université;24289;2316;13178;4261;4244;75113;Paris 13e;Université de Paris;2012
Université;37941;2312;19304;7799;6713;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2012
Université;23557;1268;12404;6504;2870;80021;Amiens;Université de Picardie Jules-Verne;2012
Université;24007;1621;14120;4884;3248;34172;Montpellier;Université de Montpellier;2012
Université;24417;1800;15700;4643;2274;35238;Rennes;Université de Rennes 1;2012
Université;8596;282;4467;2586;1256;83062;La Garde;Université de Toulon;2012
Université;27257;1354;14078;7447;4040;69387;Lyon 7e;Université Lumière - Lyon 2;2012
Autre établissement;1735;200;1134;116;285;33318;Pessac;Sciences Po Bordeaux;2012
Autre établissement;1599;224;1186;85;104;59350;Lille;Sciences Po Lille;2012
Université;25180;1556;14405;6299;2806;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2012
Université;19528;1064;11971;4091;2400;49007;Angers;Université d'Angers;2012
Université;11301;477;6222;2844;1457;64445;Pau;Université de Pau et des Pays de l'Adour;2012
École;665;67;486;70;42;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2012
École;2724;111;1577;464;572;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2012
Grand établissement;2196;261;1537;188;210;33522;Talence;Bordeaux INP;2012
École;1693;182;1140;77;294;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2012
Université;15650;734;8750;4145;2011;38185;Grenoble;Université Grenoble Alpes;2012
Université;14164;534;7521;4422;1546;95127;Cergy;CY Cergy Paris Université;2012
Université;12820;647;6296;4711;1047;97120;Pointe-à-Pitre;;2012
École;651;35;427;120;69;29019;Brest;École nationale d'ingénieurs de Brest;2012
Autre établissement;3527;272;1458;295;1502;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2012
École;507;29;331;57;90;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2012
École;469;51;345;17;56;35238;Rennes;École nationale supérieure de chimie de Rennes;2012
Université;14369;640;8290;3122;1964;87085;Limoges;Université de Limoges;2012
École;809;83;516;160;50;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2012
